,code,name,name_jp,type,type_jp,address,postal_code,phone,state,state_jp,latitude,longitude,found,faculty_count,department_count,has_grad,has_remote,review_rating,review_count,difficulty_SD,difficulty_rank
30,F113110102782,The University of Electro - Communications,電気通信大学,National,国立,東京都調布市調布ヶ丘1－5－1,182－8585,042－443－5000,Tokyo To,東京都,35.657433,139.544327,1942-04,2,9,True,False,3.92,169.0,57.0,B
31,F113110102791,Hitotsubashi University,一橋大学,National,国立,東京都国立市中2－1,186－8601,042－580－8000,Tokyo To,東京都,35.694389,139.443649,1920-04,10,15,True,False,4.26,432.0,67.9,S
32,F114110104592,Yokohama National University,横浜国立大学,National,国立,神奈川県横浜市保土ケ谷区常盤台79－1,240－8501,045－339－3014,Kanagawa Ken,神奈川県,35.476898,139.591476,1920-01,13,42,True,False,3.9,683.0,60.8,A
33,F115110105046,Niigata University,新潟大学,National,国立,新潟県新潟市西区五十嵐二の町8050,950－2181,025－223－6161,Niigata Ken,新潟県,37.867237,138.943573,1919-04,17,48,True,False,3.86,887.0,49.7,C
34,F115110105055,Nagaoka University of Technology,長岡技術科学大学,National,国立,新潟県長岡市上富岡町1603－1,940－2188,0258－46－6000,Niigata Ken,新潟県,37.424774,138.778793,1976-10,2,11,True,False,3.95,65.0,43.0,E
35,F115110105064,Joetsu University of Education,上越教育大学,National,国立,新潟県上越市山屋敷町1番地,943－8512,025－522－2411,Niigata Ken,新潟県,37.134945,138.22644,1978-10,2,3,True,False,4.09,73.0,51.0,C
36,F116110105312,University of Toyama,富山大学,National,国立,富山県富山市五福3190,930－8555,076－445－6011,Toyama Ken,富山県,36.699642,137.187057,1920-12,21,56,True,False,3.81,624.0,50.8,C
37,F117110105393,Kanazawa University,金沢大学,National,国立,石川県金沢市角間町,920－1192,076－264－5111,Ishikawa Ken,石川県,36.545948,136.709442,1894-09,12,48,True,False,3.76,734.0,53.3,C
38,F118110105597,University of Fukui,福井大学,National,国立,福井県福井市文京3丁目9番1号,910－8507,0776－23－0500,Fukui Ken,福井県,36.074238,136.212402,1923-12,10,25,True,False,3.83,258.0,50.6,C
39,F119110105676,University of Yamanashi,山梨大学,National,国立,山梨県甲府市武田4－4－37,400－8510,055－220－8004,Yamanashi Ken,山梨県,35.678509,138.57341,1924-09,7,23,True,False,3.82,252.0,48.4,D
40,F120110105771,Shinshu University,信州大学,National,国立,長野県松本市旭3－1－1,390－8621,0263－35－4600,Nagano Ken,長野県,36.249428,137.978943,1910-03,13,29,True,False,3.93,767.0,51.5,C
41,F121110105976,Gifu University,岐阜大学,National,国立,岐阜県岐阜市柳戸1－1,501－1193,058－230－1111,Gifu Ken,岐阜県,35.46553,136.737625,1923-12,14,38,True,False,3.93,596.0,53.0,C
42,F122110106224,National University Corporation Shizuoka University,静岡大学,National,国立,静岡県静岡市駿河区大谷836,422－8529,054－237－1111,Shizuoka Ken,静岡県,34.966625,138.431412,1922-08,11,35,True,False,3.94,703.0,51.3,C
43,F122110106233,Hamamatsu University School of Medicine,浜松医科大学,National,国立,静岡県浜松市東区半田山1－20－1,431－3192,053－435－2111,Shizuoka Ken,静岡県,34.76965,137.74408,1974-06,2,5,True,False,3.89,66.0,64.4,S
44,F123110106429,Nagoya University,名古屋大学,National,国立,愛知県名古屋市千種区不老町,464－8601,052－789－2012,Aichi Ken,愛知県,35.155655,136.964676,1908-04,22,77,True,False,4.22,1281.0,59.6,A
45,F123110106447,Aichi University of Education,愛知教育大学,National,国立,愛知県刈谷市井ケ谷町広沢1,448－8542,0566－26－2111,Aichi Ken,愛知県,35.051189,137.049667,1943-04,3,6,True,False,3.87,541.0,51.0,C
46,F123110106438,Nagoya Institute of Technology,名古屋工業大学,National,国立,愛知県名古屋市昭和区御器所町,466－8555,052－732－2111,Aichi Ken,愛知県,35.156868,136.925232,1905-03,2,11,True,False,4.01,294.0,57.3,B
47,F123110106456,Toyohashi University of Technology,豊橋技術科学大学,National,国立,愛知県豊橋市天伯町雲雀ケ丘1－1,441－8580,0532－47－0111,Aichi Ken,愛知県,34.70142,137.408173,1976-10,2,10,True,False,3.87,63.0,53.0,C
48,F124110107141,Mie University,三重大学,National,国立,三重県津市栗真町屋町1577,514－8507,059－232－1211,Mie Ken,三重県,34.745785,136.523224,1921-12,11,35,True,False,3.94,616.0,52.0,C
49,F125110107284,Shiga University,滋賀大学,National,国立,滋賀県彦根市馬場1－1－1,522－8522,0749－27－1005,Shiga Ken,滋賀県,35.278313,136.247208,1922-10,7,16,True,False,3.83,343.0,51.7,C
50,F125110107293,Shiga University of Medical Science,滋賀医科大学,National,国立,滋賀県大津市瀬田月輪町,520－2192,077－548－2111,Shiga Ken,滋賀県,34.974438,135.946915,1974-10,2,4,True,False,3.88,61.0,60.3,A
51,F126110107407,Kyoto University,京都大学,National,国立,京都府京都市左京区吉田本町,606－8501,075－753－7531,Kyoto Fu,京都府,35.026962,135.781967,1886-04,28,94,True,False,4.2,1434.0,65.6,S
52,F126110107416,Kyoto University of Education,京都教育大学,National,国立,京都府京都市伏見区深草藤森町1,612－8522,075－644－8106,Kyoto Fu,京都府,34.951603,135.773636,1943-04,4,6,True,False,3.99,178.0,51.6,C
53,F126110107425,Kyoto Institute of Technology,京都工芸繊維大学,National,国立,京都府京都市左京区松ケ崎橋上町,606－8585,075－724－7014,Kyoto Fu,京都府,35.049767,135.78334,1899-06,2,24,True,False,4.04,215.0,56.4,B
54,F127110107852,Osaka University,大阪大学,National,国立,大阪府吹田市山田丘1－1,565－0871,06－6877－5111,Osaka Fu,大阪府,34.819496,135.521164,1917-04,26,75,True,False,4.12,1840.0,61.3,A
55,F127110107861,Osaka Kyoiku University,大阪教育大学,National,国立,大阪府柏原市旭ケ丘4－698－1,582－8582,072－976－3211,Osaka Fu,大阪府,34.552101,135.64679,1943-04,6,17,True,False,3.99,566.0,52.2,C
56,F128110108663,Hyogo University of Teacher Education,兵庫教育大学,National,国立,兵庫県加東市下久米942－1,673－1494,0795－44－2010,Hyogo Ken,兵庫県,34.912304,135.016373,1978-10,3,7,True,False,3.83,84.0,53.5,C
57,F128110108654,Kobe University,神戸大学,National,国立,兵庫県神戸市灘区六甲台町1－1,657－8501,078－881－1212,Hyogo Ken,兵庫県,34.726303,135.23613,1902-03,28,69,True,False,3.99,1344.0,60.8,A
58,F129110109206,Nara University of Education,奈良教育大学,National,国立,奈良県奈良市高畑町,630－8528,0742－27－9105,Nara Ken,奈良県,34.675354,135.847336,1943-04,2,3,True,False,3.91,147.0,51.7,C
59,F129110109215,Nara Women’s University,奈良女子大学,National,国立,奈良県奈良市北魚屋東町,630－8506,0742－20－3204,Nara Ken,奈良県,34.688999,135.830185,1908-04,5,25,True,False,4.06,347.0,55.2,B
60,F130110109356,Wakayama University,和歌山大学,National,国立,和歌山県和歌山市栄谷930,640－8510,073－457－7007,Wakayama Ken,和歌山県,34.266689,135.151962,1922-10,8,10,True,False,3.86,386.0,50.3,C
61,F131110109417,Tottori University,鳥取大学,National,国立,鳥取県鳥取市湖山町南4－101,680－8550,0857－31－5007,Tottori Ken,鳥取県,35.515392,134.17305,1920-11,9,20,True,False,3.83,393.0,50.6,C
62,F132110109461,Shimane University,島根大学,National,国立,島根県松江市西川津町1060,690－8504,0852－32－6100,Shimane Ken,島根県,35.486992,133.068192,1920-11,12,31,True,False,3.84,339.0,48.1,D
63,F133110109503,Okayama University,岡山大学,National,国立,岡山県岡山市北区津島中1－1－1,700－8530,086－252－1111,Okayama Ken,岡山県,34.686493,133.917404,1900-03,21,67,True,False,4.02,1084.0,53.4,C
64,F134110109780,Hiroshima University,広島大学,National,国立,広島県東広島市鏡山1－3－2,739－8511,082－422－7111,Hiroshima Ken,広島県,34.400768,132.713654,1902-04,17,39,True,False,4.04,1136.0,54.2,B
65,F135110110054,Yamaguchi University,山口大学,National,国立,山口県山口市吉田1677－1,753－8511,083－933－5000,Yamaguchi Ken,山口県,34.147755,131.467514,1905-04,18,47,True,False,3.83,717.0,49.7,C
66,F136110110231,Tokushima University,徳島大学,National,国立,徳島県徳島市新蔵町2－24,770－8501,088－656－7000,Tokushima Ken,徳島県,34.069912,134.55983,1922-10,12,23,True,False,3.81,388.0,49.7,C
67,F136110110240,Naruto University of Education,鳴門教育大学,National,国立,徳島県鳴門市鳴門町高島字中島748,772－8502,088－687－6000,Tokushima Ken,徳島県,34.203056,134.605515,1981-10,2,3,True,False,4.16,35.0,50.2,C
68,F137110110310,Kagawa University,香川大学,National,国立,香川県高松市幸町1－1,760－8521,087－832－1000,Kagawa Ken,香川県,34.343601,134.038727,1923-12,12,22,True,False,3.89,432.0,50.9,C
69,F138110110382,Ehime University,愛媛大学,National,国立,愛媛県松山市道後樋又10－13,790－8577,089－927－9000,Ehime Ken,愛媛県,33.852291,132.773804,1919-04,13,30,True,False,3.93,673.0,48.7,D
70,F139110110504,Kochi University,高知大学,National,国立,高知県高知市曙町2－5－1,780－8520,088－844－0111,Kochi Ken,高知県,33.550621,133.488892,1922-08,10,31,True,False,3.98,360.0,48.7,D
71,F140110110583,University of Teacher Education Fukuoka,福岡教育大学,National,国立,福岡県宗像市赤間文教町1－1,811－4192,0940－35－1200,Fukuoka Ken,福岡県,33.812565,130.593628,1943-04,3,6,True,False,3.86,297.0,50.4,C
72,F140110110592,Kyushu University,九州大学,National,国立,福岡県福岡市西区元岡744,819－0395,092－802－2125,Fukuoka Ken,福岡県,33.597153,130.223312,1910-12,30,105,True,False,4.04,1057.0,59.1,A
73,F140110110574,Kyushu Institute of Technology,九州工業大学,National,国立,福岡県北九州市戸畑区仙水町1－1,804－8550,093－884－3000,Fukuoka Ken,福岡県,33.891369,130.838516,1907-07,5,16,True,False,3.83,277.0,52.5,C
74,F141110111135,Saga University,佐賀大学,National,国立,佐賀県佐賀市本庄町1,840－8502,0952－28－8113,Saga Ken,佐賀県,33.224899,130.288223,1920-04,13,17,True,False,3.82,419.0,50.4,C
75,F142110111189,Nagasaki University,長崎大学,National,国立,長崎県長崎市文教町1－14,852－8521,095－819－2016,Nagasaki Ken,長崎県,32.785553,129.862564,1905-03,17,31,True,False,3.88,554.0,50.1,C
76,F143110111295,Kumamoto University,熊本大学,National,国立,熊本県熊本市中央区黒髪2－39－1,860－8555,096－344－2111,Kumamoto Ken,熊本県,32.81321,130.727722,1887-05,15,45,True,False,3.93,618.0,52.0,C
77,F144110111418,Oita University,大分大学,National,国立,大分県大分市大字旦野原700,870－1192,097－569－3311,Oita Ken,大分県,33.174316,131.612869,1921-12,12,27,True,False,3.89,429.0,50.3,C
78,F145110111523,University of Miyazaki,宮崎大学,National,国立,宮崎県宮崎市学園木花台西1－1,889－2192,0985－58－7111,Miyazaki Ken,宮崎県,31.828053,131.414993,1943-04,13,31,True,False,3.92,354.0,50.4,C
79,F146110111620,Kagoshima University,鹿児島大学,National,国立,鹿児島県鹿児島市郡元1－21－24,890－8580,099－285－7111,Kagoshima Ken,鹿児島県,31.572577,130.546463,1901-03,20,69,True,False,4.02,706.0,48.3,D
80,F146110111639,National Institute of Fitness And Sports In Kanoya,鹿屋体育大学,National,国立,鹿児島県鹿屋市白水町1,891－2393,0994－46－4111,Kagoshima Ken,鹿児島県,31.395185,130.78717,1981-10,2,6,True,False,4.05,55.0,49.0,D
81,F147110111736,University of The Ryukyus,琉球大学,National,国立,沖縄県中頭郡西原町字千原1,903－0213,098-895-8012,Okinawa Ken,沖縄県,26.24585,127.758453,1950-05,15,37,True,False,3.91,499.0,46.1,D
82,F113110102808,National Graduate Institute For Policy Studies,政策研究大学院大学,National,国立,東京都港区六本木7－22－1,106－8677,03－6439－6000,Tokyo To,東京都,35.664024,139.726776,1997-10,1,1,True,False,5.0,1.0,,
83,F114110104609,"The Graduate University for Advanced Studies, SOKENDAI",総合研究大学院大学,National,国立,神奈川県三浦郡葉山町（湘南国際村）,240－0193,046－858－1500,Kanagawa Ken,神奈川県,35.272079,139.586166,1988-10,6,20,True,False,4.58,9.0,,
84,F117110105400,Japan Advanced Institute of Science And Technology,北陸先端科学技術大学院大学,National,国立,石川県能美市旭台1－1,923－1292,0761－51－1111,Ishikawa Ken,石川県,36.442867,136.59256,1990-10,1,2,True,False,3.58,3.0,,
85,F129110109224,Nara Institute of Science And Technology,奈良先端科学技術大学院大学,National,国立,奈良県生駒市高山町8916－5,630－0192,0743－72－5111,Nara Ken,奈良県,34.735664,135.731369,1991-10,1,1,True,False,4.12,35.0,,
86,F101210100081,Sapporo Medical University,札幌医科大学,Public,公立,北海道札幌市中央区南1条西17丁目,060－8556,011－611－2111,Hokkai Do,北海道,43.056129,141.331436,1945-04,5,12,True,False,4.09,134.0,55.4,B
87,F101210100090,Future University Hakodate,公立はこだて未来大学,Public,公立,北海道函館市亀田中野町116－2,041－8655,0138－34－6448,Hokkai Do,北海道,41.841949,140.766815,1999-12,2,3,True,False,4.01,54.0,43.5,E
88,F101210100107,Kushiro Public University of Economics,釧路公立大学,Public,公立,北海道釧路市芦野4－1－1,085－8585,0154－37－3211,Hokkai Do,北海道,43.018459,144.393768,1987-12,1,2,False,False,3.47,109.0,40.0,E
89,F101210100116,Nayoro City University,名寄市立大学,Public,公立,北海道名寄市西4条北8丁目1,096－8641,01654－2－4194,Hokkai Do,北海道,44.364567,142.458801,2005-12,1,4,False,False,4.05,59.0,49.5,C
90,F101210100125,SAPPORO CITY UNIVERSITY,札幌市立大学,Public,公立,北海道札幌市南区芸術の森1丁目,005－0864,011－592－2300,Hokkai Do,北海道,42.944695,141.341125,2005-12,5,5,True,False,3.94,106.0,50.5,C
91,F101210100134,Chitose Institute of Science And Technology,公立千歳科学技術大学,Public,公立,北海道千歳市美々758－65,066－8655,0123－27－6001,Hokkai Do,北海道,42.787975,141.699905,1997-12,2,4,True,False,3.89,35.0,46.5,D
92,F102210100589,Aomori Public University,青森公立大学,Public,公立,青森県青森市大字合子沢字山崎153－4,030－0196,017－764－1555,Aomori Ken,青森県,40.754196,140.769241,1992-12,2,4,True,False,3.8,138.0,43.6,E
93,F102210100598,Aomori University of Health And Welfare,青森県立保健大学,Public,公立,青森県青森市大字浜館字間瀬58－1,030－8505,017－765－2000,Aomori Ken,青森県,40.814526,140.792755,1998-12,2,5,True,False,4.26,112.0,48.5,D
94,F103210100748,Iwate Prefectural University,岩手県立大学,Public,公立,岩手県滝沢市巣子152－52,020－0693,019－694－2000,Iwate Ken,岩手県,39.799114,141.131531,1998-04,8,9,True,False,3.95,179.0,49.3,C
95,F104210100872,Miyagi Akita Prefectural University,宮城大学,Public,公立,宮城県黒川郡大和町学苑1－1,981－3298,022－377－8205,Miyagi Ken,宮城県,38.3489,140.840469,1996-12,6,9,True,False,3.8,211.0,44.5,D
96,F105210101068,Akita Prefectural University,秋田県立大学,Public,公立,秋田県秋田市下新城中野字街道端西241－438,010－0195,018－872－1500,Akita Ken,秋田県,39.804924,140.047287,1998-12,4,13,True,False,3.93,121.0,40.9,E
97,F105210101077,Akita International University,国際教養大学,Public,公立,秋田県秋田市雄和椿川字奥椿岱,010－1292,018－886－5900,Akita Ken,秋田県,39.62706,140.181107,2004-04,2,4,True,False,4.18,100.0,69.7,S
98,F105210101086,Akita University of Art,秋田公立美術大学,Public,公立,秋田県秋田市新屋大川町12－3,010－1632,018－888－8100,Akita Ken,秋田県,39.685692,140.090866,2012-11,2,2,True,False,3.75,27.0,46.5,D
99,F106210101183,Yamagata Prefectural University of Health Sciences,山形県立保健医療大学,Public,公立,山形県山形市上柳260,990－2212,023－686－6611,Yamagata Ken,山形県,38.296722,140.346436,1999-12,2,4,True,False,4.03,44.0,,
100,F106210101192,Yamagata Prefectural Yonezawa University of Nutrition Sciences,山形県立米沢栄養大学,Public,公立,山形県米沢市通町6－15－1,992－0025,0238－22－7330,Yamagata Ken,山形県,37.891335,140.124496,2013-10,2,2,True,False,3.9,10.0,46.0,D
101,F107210101280,Fukushima Medical University,福島県立医科大学,Public,公立,福島県福島市光が丘1,960－1295,024－547－1111,Fukushima Ken,福島県,37.689926,140.471603,1947-06,5,10,True,False,3.96,68.0,53.8,C
102,F107210101299,The University of Aizu,会津大学,Public,公立,福島県会津若松市一箕町大字鶴賀字上居合90,965－8580,0242－37－2500,Fukushima Ken,福島県,37.523617,139.937897,1992-12,2,3,True,False,4.06,68.0,44.0,E
103,F108210101449,Ibaraki Prefectural University of Health Sciences,茨城県立医療大学,Public,公立,茨城県稲敷郡阿見町阿見4669－2,300－0394,029－888－4000,Ibaraki Ken,茨城県,36.026962,140.210724,1994-12,3,9,True,False,4.09,71.0,51.1,C
104,F110210101720,Takasaki City University of Economics,高崎経済大学,Public,公立,群馬県高崎市上並榎町1300,370－0801,027－343－5417,Gunma Ken,群馬県,36.34544,138.977264,1952-04,4,10,True,False,3.67,369.0,54.0,C
105,F110210101739,Maebashi Institute of Technology,前橋工科大学,Public,公立,群馬県前橋市上佐鳥町460－1,371－0816,027－265－0111,Gunma Ken,群馬県,36.363926,139.080566,1952-04,2,14,True,False,3.69,45.0,43.8,E
106,F110210101748,Gunma Prefectural Women’s University,群馬県立女子大学,Public,公立,群馬県佐波郡玉村町上之手1395－1,370－1193,0270－65－8511,Gunma Ken,群馬県,36.29763,139.112442,1980-01,4,11,True,False,4.17,119.0,51.7,C
107,F110210101757,Gunma Prefectural College of Health Sciences,群馬県立県民健康科学大学,Public,公立,群馬県前橋市上沖町323－1,371－0052,027－235－1211,Gunma Ken,群馬県,36.403595,139.095078,2004-11,4,4,True,False,4.23,44.0,51.5,C
108,F111210101952,Saitama Prefectural University,埼玉県立大学,Public,公立,埼玉県越谷市三野宮820,343－8540,048－971－0500,Saitama Ken,埼玉県,35.929996,139.756241,1999-04,2,6,True,False,4.13,174.0,50.3,C
109,F112210102353,Chiba Prefectural University of Health Sciences,千葉県立保健医療大学,Public,公立,千葉県千葉市美浜区若葉2－10－1,261－0014,043－296－2000,Chiba Ken,千葉県,35.651989,140.052032,2008-10,1,4,False,False,3.66,80.0,,
110,F113210102824,Tokyo Metropolitan University,東京都立大学,Public,公立,東京都八王子市南大沢1－1,192－0397,042－677－1111,Tokyo To,東京都,35.616882,139.376968,2004-09,18,43,True,False,4.06,646.0,56.7,B
111,F113210102833,Advanced Institute of Industrial Technology,東京都立産業技術大学院大学,Public,公立,東京都品川区東大井1－10－40,140－0011,03－3472－7831,Tokyo To,東京都,35.605923,139.747803,2005-12,1,1,True,False,3.65,9.0,,
112,F114210104616,Yokohama City University,横浜市立大学,Public,公立,神奈川県横浜市金沢区瀬戸22－2,236－0027,045－787－2311,Kanagawa Ken,神奈川県,35.333984,139.617783,1928-03,11,15,True,False,3.87,398.0,59.2,A
113,F114210104625,Kanagawa University of Human Services,神奈川県立保健福祉大学,Public,公立,神奈川県横須賀市平成町1－10－1,238－8522,046－828－2500,Kanagawa Ken,神奈川県,35.273666,139.68071,2002-12,3,6,True,False,4.14,135.0,50.6,C
114,F115210105071,Niigata College of Nursing,新潟県立看護大学,Public,公立,新潟県上越市新南町240,943－0147,025－526－2811,Niigata Ken,新潟県,37.10453,138.269821,2001-12,2,2,True,False,4.05,33.0,50.5,C
115,F115210105080,University of Niigata Prefecture,新潟県立大学,Public,公立,新潟県新潟市東区海老ケ瀬471,950－8680,025－270－1300,Niigata Ken,新潟県,37.923443,139.127274,2009-04,4,5,True,False,4.04,128.0,49.9,C
116,F115210105099,Nagaoka Institute of Design,長岡造形大学,Public,公立,新潟県長岡市千秋4－197,940－2088,0258－21－3311,Niigata Ken,新潟県,37.467224,138.830521,1994-04,2,5,True,False,4.1,62.0,50.2,C
117,F115210111849,SANJO CITY UNIVERSITY,三条市立大学,Public,公立,新潟県三条市上須頃1341番地（3街区）,955-0091,0256-47-5511,Niigata Ken,新潟県,37.643047,138.932938,2021-04,1,1,False,False,,,42.5,E
118,F116210105329,Toyama Prefectural University,富山県立大学,Public,公立,富山県射水市黒河5180,939－0398,0766－56－7500,Toyama Ken,富山県,36.707066,137.097382,1989-12,3,15,True,False,3.72,73.0,43.9,E
119,F117210105417,Komatsu University,公立小松大学,Public,公立,石川県小松市四丁町ヌ1番地3,923－8511,0761－41－6700,Ishikawa Ken,石川県,36.354458,136.416809,2018-04,4,7,True,False,3.55,11.0,49.5,C
120,F117210105426,Ishikawa Prefectural University,石川県立大学,Public,公立,石川県野々市市末松1－308,921－8836,076－227－7220,Ishikawa Ken,石川県,36.506672,136.597122,2004-11,2,9,True,False,3.78,41.0,49.0,D
121,F117210105435,Kanazawa College of Art,金沢美術工芸大学,Public,公立,石川県金沢市小立野5－11－1,920－8656,076－262－3531,Ishikawa Ken,石川県,36.555538,136.677475,1946-07,2,9,True,False,4.0,42.0,51.3,C
122,F117210105444,Ishikawa Prefectural Nursing University,石川県立看護大学,Public,公立,石川県かほく市学園台1－1,929－1210,076－281－8300,Ishikawa Ken,石川県,36.780563,136.73378,1999-12,2,2,True,False,3.82,27.0,50.0,C
123,F118210105602,Fukui Prefectural University,福井県立大学,Public,公立,福井県永平寺町松岡兼定島4－1－1,910－1195,0776－61－6000,Fukui Ken,福井県,36.109333,136.277328,1991-12,7,15,True,False,3.66,120.0,47.6,D
